Business,Town,Comment,Rate,Name,Date
albert school,paris,"Des apprenants qui ont envie d'apprendre, des professeurs issus d'établissements prestigieux et investis, des locaux magnifiques...
J'aime particulièrement le concept de mentorat qui permet d'avoir des ""cours particuliers"" pour éclaircir certains points.",5.0,Jean-Eudes Sanson,29/10/24
albert school,paris,"École sérieuse, désormais bien implantée dans le paysage des études supérieures françaises. Des profs de qualité. Très appliquée et orientée ""monde pro"", et en même temps elle essaie d'ouvrir un peu l'horizon de ses élèves (cf. cours de philo ou de géopolitique par exemple). J'y suis déjà intervenue, et j'y ai découvert une chouette ambiance et rencontré des élèves ouverts, désireux d'apprendre et de progresser.",5.0,Elisabeth Geffroy,29/10/24
albert school,paris,"Une école sérieuse avec une multitude de beaux partenariats que ce soit en finance, dans la GMS ou encore le luxe. L'ensemble des professeurs sont issus des écoles françaises les plus prestigieuses que ce soit en commerce ou ingénieire. J'ai eu l'occasion d'animer des sessions de mentorat en IA et en mathématiques auprès d'étudiants, ce fut une bonne expérience.",5.0,Justin CUZIN,21/11/24
albert school,paris,"Mon fils a commencé cette année l Albert School et ça faisait longtemps que je ne l avais pas vu aussi épanoui
Les enseignants sont passionnants et ils sont bienveillants. Ils ont envie de transmettre leurs savoirs et on sent que ce n est pas leur rémunération le moteur c est bien au delà. Probablement aussi que c est un excellent vivier pour repérer leurs futurs collaborateurs car beaucoup viennent du monde de l entreprise et je trouve que c est une vraie opportunité.
En lisant les commentaires négatifs ça m à encore plus donné envie de connaître cette école car je vois aucun commentaire négatif sur l enseignement mais que sur la communication et j en conclue que sûrement beaucoup sont dû à de la jalousie ou de la peur de la concurrence !
Donc vous avez raison d avoir peur parceque cette école mixte l ingénierie et le business et ce n est pas l avenir c est le présent et le temps que les vieux dinosaures des grandes écoles d ingénieurs ou de business prennent le virage l albert school aura déjà pris de l avance et aura ouvert dans de nombreux pays!!!",5.0,Audrey ROSENBLUM,29/10/24
albert school,paris,Des programmes d'excellence avec des professeurs de qualité. L'aide proposée pour trouver d'alternance est un vrai plus. Je recommande Albert School à tous les étudiants souhaitant allier business et data ! Et le campus de Paris est simplement magnifique. :),5.0,Lisa Bartoluci,31/07/24
albert school,paris,Albert School est une école formidable ! J'ai participé à une SPO et j'ai été très bien accueilli. L'équipe pédagogique est à l'écoute et le cadre est idéal pour apprendre et s'épanouir. Les opportunités professionnelles sont également excellentes. Je recommande vivement !,5.0,Pierre Riviera,31/07/24
albert school,paris,"Une école qui offre la possibilité aux élèves de se former aux domaines du business et de la data.
35 heures de cours par semaine en première et en deuxième année et un excellent dans les enseignements (maths, sciences, marketing, strat...).

Albert School rompt avec les codes de l'enseignement supérieur classique et permet aux étudiants de choisir une formation avec plus de pratique (projets réels et stages) que les parcours ""prépa"".

Surtout, n'hésitez pas à participer aux portes ouvertes pour venir échanger avec l'équipe pédagogique et les étudiants et découvrir le magnifique campus de Paris 🤩",5.0,Kevin Chedozeau,31/07/24
albert school,paris,J'ai eu l'occasion de rencontrer les étudiants de cette école à plusieurs reprises. Ils ont vraiment envie d'apprendre et il règne une bonne atmosphère. Les équipements sont top et l'équipe pédagogique est très investie. Je recommande vivement cette école !,5.0,Lionel L,31/07/24
albert school,paris,"Albert School est une super école ! J'adore le concept des cas pratiques et des Alberthons qui plongent les étudiants dans des situations réelles, ce que je n'ai pas eu dans mes études. Les profs sont top, ils viennent des meilleures écoles et ça se voit dans la qualité des cours. Je pense que l'accent sur la polyvalence entre data et business est exactement ce qu'il faut pour préparer les leaders de demain. Je recommande vivement Albert School pour ceux qui veulent une formation de pointe dans ces domaines !",5.0,Lena Szepetowski,31/07/24
albert school,paris,"Je suis très satisfaite de mon expérience à l'Albert School. L'enseignement est de grande qualité, les professeurs sont excellents et les opportunités de stage sont nombreuses et prestigieuses (Rothschild, Air France, BNP Paribas, LVMH, etc.). J'ai particulièrement adoré le concept des Business Deep Dives (BDD), notamment celui qui a eu lieu avec LVMH. Je recommande vivement cette école !",5.0,Valentine Demuli,31/07/24
albert school,paris,"Les frais d’inscription des étudiants participent largement à l’envahissement publicitaire autour de cette école dont nous sommes victimes. Ayez en conscience avant d’y postuler.

Quant à l’école, je lui conseille de se démarquer davantage par ses qualités intrinsèques que par son marketing digital.",1.0,Samuel Witter,31/07/24
albert school,paris,"J'ai été très impressionnée par la qualité de la formation proposée par Albert School, tant pour les étudiants en Bachelor qu'en Master. L'administration se distingue par son écoute attentive et sa réactivité face aux problèmes. Les professeurs ont des parcours inspirants et sont parfaitement compétents dans les matières qu'ils enseignent. Je recommande vivement cette école !",5.0,inasse benjelloun,31/07/24
albert school,paris,"Une école totalement centrée sur ses étudiants, avec une grande ambition pour permettre à des jeunes de développer les compétences des responsables de demain.
L'équipe pédagogique est impressionnante et le réseau entreprises extraordinaire.",5.0,Arthur Walus,01/07/24
albert school,paris,"J’ai participé à une Journée Portes Ouvertes un samedi il y à quelques semaines, et j’ai trouvé l’expérience géniale.

Le discours des fondateurs était très inspirant, la journée était rythmée de présentations et activités où on a pu être impliqués et découvrir l’école.

Les programmes Bachelor et Masters ont l’air d’être exactement ce que le monde professionnel recherche dans des profils juniors. Hâte de suivre le development de l’école.",5.0,Matteo Bianchi,31/07/24
albert school,paris,"Albert School se distingue par la qualité de son corps enseignant, composé de professeurs enseignant à HEC, Polytechnique ou encore l'INSEAD... L'équipe académique assure un suivi personnalisé, avec un accent mis sur l'assiduité et le mentorat, accessible à tous les élèves. Dès le Bachelor, le programme met l'accent sur la professionnalisation, ce qui permet de préparer efficacement les étudiants au monde du travail.",5.0,Edouard Neuville,31/07/24
albert school,paris,"Ecole avec une communication visiblement agressive et un réseau grâce à ses investisseurs (Niel, sacré vitrine) qui apportent les fonds... mais ensuite ?? Ce n'est pas une école, mais une entreprise : une pompe à fric à 12000€ l'année, pour une reconnaissance nulle auprès des autres (vraies) écoles et des entreprises, pas dupes ??
Attention, se méfier... Je n'y enverrais pas mes enfants. Je préfère la garantie du système prépa et des vraies écoles d'ingénieurs.",1.0,Tuba PRÉVOST,30/08/24
albert school,paris,J'ai eu l'occasion d'animer des sessions de mentorat en Data / IA au près d'étudiants. Les profs et le staff sont top et les programmes sont parfaitement alignés avec les besoins du marché actuel !,5.0,Paul Laissus,31/07/24
albert school,paris,"Professeur de Stratégie chez Albert School depuis bientôt 2 ans, j'ai pu constater la qualité de cet établissement à bien des titres : * Vivacité et motivation des élèves
* Richesse de l'enseignement pratique et théorique prodigué avec les Business Deep-Dive organisés en partenariat avec des entreprises du tissu économique français
* Beauté des locaux et ergonomie du campus

Enfin, mention spéciale à l'équipe encadrante pour la rigueur mais aussi l'énorme ambition qu'ils entretiennent pour leurs élèves ! Un bel exemple de renouveau de l'enseignement supérieur adapté aux enjeux du XXIe siècle.

Go Albert School !",5.0,Virgile Blanchard,31/07/24
albert school,paris,J’ai eu l’occasion de faire plusieurs interventions auprès des étudiants d’Albert School. J’y ai particulièrement apprécié l’organisation et les attentes du corps professoral en termes de niveau. Et que dire du campus !,5.0,Pierre Antoine Dornic,31/07/24
albert school,paris,"Les cours sont qualitatifs, avec un bon équilibre entre la théorie et la pratique. Il y a une bonne ambiance, tant avec les étudiants qu'avec les professeurs et beaucoup d'opportunités",5.0,Alexis Arnaud,01/07/24
albert school,paris,"Étudiant à Albert School, je trouve que c’est une excellente école avec une tres bonne ambiance et des profs/cours de qualité",5.0,Enzo Natali,01/07/24
albert school,paris,"il faut arrêter avec vos publicités redondantes ! c'est du harcèlement. Je pense que nous avons tous compris qui vous êtes soit disant l'école du futur et que vous ouvrez un nouveau campus à Lyon. Changez vos méthodes de communication et si votre établissement était si bien que vous le dites, il n'y en aurait même pas besoin : le bouche à oreilles suffirait... remettez vous en question.",1.0,Jean,01/06/24
albert school,paris,"Qualité remarquable des enseignants, des locaux, du projet pédagogique. Excellent accueil des nouveaux arrivants !",5.0,Olivier Jaskulké,29/10/24
albert school,paris,J'ai eu l'opportunité de rencontrer des étudiants désireux d'apprendre et une équipe pédagogique très soucieuse de la réussite de chacun,5.0,Sélim,29/10/24
albert school,paris,"Albert School, une ecole d’excellence avec un double cursus en Business et Data : une école de rêve qui associe data, business, programmation et qui efface toute frontière entre école d’ingénieur et de commerce
Formation à laquelle vient s'ajouter un personnel tout à fait accueillant, qui est à l'écoute.
Je ne regrette pas mon choix !",5.0,Gaby Balou,02/04/24
albert school,paris,"Je partage mon expérience négative à propos de Albert School, car cela fait près de deux mois qu’ils m’harcèlent avec leur publicité. Nous avons compris qu’ils se prétendent être l’école du ‘futur’, merci pour l’information. Cependant, il existe des centaines, voire des milliers d’écoles de commerce. P.S. : à l’intention des étudiants : faites une prépa et visez le top 3 des écoles de commerce de France.",2.0,Paul Pks,02/05/24
